(Australia,233.56971744299514)
(Brazil,64.53254675731621)
(Mexico,21.60040746202014)
(Uzbekistan,15.05862151048192)
(France,1197.5301711971615)
(Papua New Guinea,0.2235379417095757)
(Greenland,193.75748608468962)
(Myanmar,0.40433896882609044)
(Finland,416.5525117863786)
(Germany,1232.073758283881)
(Northern Mariana Islands,138.9926507635909)
(Uruguay,122.05910251438871)
(Oman,82.05032602765587)
(Bahrain,476.6150108457831)
(Gibraltar,3354.011457065684)
(Sweden,761.7382246439594)
(El Salvador,12.025529273607155)
(Libya,2.7651297347934967)
(Vietnam,2.5786280451606736)
(Venezuela,5.83768226008893)
(Falkland Islands,1435.5440712029858)
(Sudan,0.3192755619255591)
(Iraq,25.63241775381309)
(Curacao,79.21998781230957)
(Suriname,17.046403720207145)
(Maldives,35.14990509525625)
(Mauritania,1.290416933711282)
(Italy,2242.5058005192955)
(Greece,175.76419046391)
(French Polynesia,167.31694813886594)
(Vatican,8652.65760197775)
(Malaysia,122.44331226863453)
(Romania,229.60146653843225)
(Fiji,16.73277973861167)
(Egypt,12.918431741864953)
(Malta,663.5880409205074)
(Timor,0.7584709831755966)
(Armenia,287.8611678996663)
(Monaco,2013.0465803689733)
(Liberia,2.7680692143843904)
(Thailand,33.93983877759962)
(Democratic Republic of Congo,2.0097943082714513)
(Poland,128.0960339771559)
(Togo,7.851439174840316)
(Pakistan,18.4343203838978)
(Burkina Faso,18.370324501257652)
(Chile,267.6262851070523)
(Canada,473.82029596241676)
(Barbados,219.2288017928044)
(Japan,30.883217808012933)
(Zimbabwe,0.6728149845585596)
(China,57.51589843467699)
(South Sudan,0.08933573432052892)
(Equatorial Guinea,11.404255925758294)
(Sri Lanka,8.639510583400464)
(Costa Rica,94.8153103758573)
(Mauritius,210.7304246768472)
(Bulgaria,83.04016222334639)
(Turks and Caicos Islands,206.6222428844465)
(Haiti,2.192495299070829)
(New Zealand,200.94425134579765)
(Colombia,34.98229384953888)
(Dominica,208.3593782556153)
(Mozambique,0.31994435527773013)
(Tanzania,0.40177979745041587)
(Cameroon,25.80439649656911)
(Congo,8.154992703999861)
(Panama,521.2331230786915)
(India,3.763756156470474)
(Lebanon,80.28784069954735)
(Chad,0.5479165503612322)
(Hungary,92.64674675348202)
(Argentina,37.94602314282593)
(Bolivia,17.990189178832676)
(Croatia,312.28168294980986)
(Guam,716.8968438764567)
(Estonia,866.1637539491865)
(Ecuador,226.4346434235331)
(Laos,1.6493584820184184)
(Georgia,49.132966089479666)
(Guinea-Bissau,16.768309723891996)
(Faeroe Islands,3765.4763122889603)
(Swaziland,8.6194710403012)
(Zambia,2.121414999035028)
(Tunisia,50.42890801614876)
(Cambodia,6.998038336211002)
(Mali,2.765318208622914)
(Nepal,0.30888764479623165)
(Ireland,1156.1838520667927)
(Belarus,91.1176580835808)
(Qatar,713.9733292607582)
(Azerbaijan,70.71581267706692)
(Nigeria,1.2321747787337909)
(Russia,51.372376339351234)
(Guatemala,4.465390350190981)
(Albania,133.08777538397388)
(Puerto Rico,200.29082367416567)
(Andorra,7053.6465411247)
(Bahamas,91.54528440068354)
(Grenada,106.64865489384015)
(Trinidad and Tobago,76.4563687797921)
(Czech Republic,468.48523977349106)
(Brunei,308.58341924143343)
(Guinea,10.96491896011145)
(Anguilla,199.97333688841485)
(South Korea,202.53882337075663)
(Peru,89.59158671310063)
(Cayman Islands,684.7230675593426)
(Macedonia,287.51355969626275)
(Djibouti,122.46938771379004)
(Montenegro,383.7200785909671)
(Cuba,34.961898593542855)
(Cape Verde,12.590199788484643)
(Kosovo,95.1999561252376)
(United States Virgin Islands,430.9395439701981)
(Bangladesh,0.9958140410301981)
(Ghana,9.236330833784823)
(Serbia,359.6098871997691)
(Iran,745.1696572687474)
(Slovakia,106.41721445889411)
(Madagascar,3.069587291099689)
(Senegal,14.154383110775072)
(Angola,0.5172476534299544)
(Denmark,875.4872714233255)
(Saudi Arabia,80.28410058555117)
(Paraguay,16.123311083164037)
(Saint Lucia,76.24068093819605)
(Gambia,1.6551742401922651)
(Botswana,2.9766650720246637)
(Isle of Man,1764.0417725091734)
(Namibia,6.29694173282391)
(New Caledonia,63.049273006854854)
(Slovenia,507.47210586974467)
(Kuwait,173.98174432738728)
(Iceland,4647.619047619047)
(Liechtenstein,2045.2578860424264)
(Netherlands,1142.6988691424792)
(Montserrat,1200.2400480096019)
(Spain,3005.254029304339)
(Mongolia,4.575553367424257)
(Kazakhstan,37.493262263718556)
(Ukraine,33.42955267119847)
(Latvia,290.53091874571226)
(Eritrea,8.741192191464819)
(Rwanda,8.106725269797607)
(Indonesia,10.010104392410044)
(Somalia,0.5033593257602503)
(Norway,1081.486493316476)
(Antigua and Barbuda,153.17376031369986)
(Bermuda,626.2746294541777)
(Burundi,0.252296295760556)
(Afghanistan,9.427578740126636)
(Israel,1068.4485233216506)
(Saint Vincent and the Grenadines,72.10650130242368)
(Ethiopia,0.4523171481181132)
(Niger,11.484454097628436)
(Belgium,1914.9901083866798)
(Seychelles,111.85682326621922)
(Nicaragua,0.9057213512034169)
(San Marino,8220.873357298604)
(Guyana,41.95489467414396)
(Algeria,33.47696883743449)
(Cyprus,409.1568304757235)
(Singapore,253.14755049404795)
(United Arab Emirates,238.51411469707995)
(Aruba,693.1045463911734)
(Benin,2.1446486314914597)
(Sierra Leone,0.7521638814664939)
(Moldova,261.7773142688716)
(Palestine,50.966241529802694)
(Cote d'Ivoire,13.230584638305572)
(Philippines,34.34899371547563)
(Taiwan,15.787192010673149)
(Luxembourg,4744.590846933428)
(Turkey,404.4270492107768)
(Austria,1403.4464380884706)
(Portugal,1220.1978540719078)
(United Kingdom,813.7465271928512)
(Jamaica,21.275438924124693)
(Lithuania,323.25713893187765)
(Sint Maarten (Dutch part),932.7923137913344)
(Belize,17.60470397690263)
(Honduras,31.50048946914406)
(Dominican Republic,180.31133018876275)
(Malawi,0.41819230625477155)
(Kyrgyzstan,41.38444138131456)
(Switzerland,2560.9449198104408)
(Morocco,32.07754269117254)
(Bosnia and Herzegovina,238.0506063280008)
(Kenya,3.1987324092964093)
(United States,1204.8513920192304)
(South Africa,29.489776287420945)
(Saint Kitts and Nevis,206.7980147390585)
(Bhutan,6.479940695582753)
(Syria,1.0856735264281792)
(Central African Republic,1.8634450875860602)
(Uganda,1.1368356616602173)
(Gabon,13.47873594617132)
(British Virgin Islands,99.21619208254788)
(Jordan,34.205156451837375)
